item,question
ST082Q01NA,I prefer working as part of a team to working alone.
ST082Q02NA,I am a good listener.
ST082Q03NA,I enjoy seeing my classmates be successful.
ST082Q08NA,I take into account what others are interested in.
ST082Q09NA,I find that teams make better decisions than individuals.
ST082Q12NA,I enjoy considering different perspectives.
ST082Q13NA,I find that teamwork raises my own efficiency.
ST082Q14NA,I enjoy cooperating with peers.
ST034Q02TA,I make friends easily at school.
ST034Q05TA,Other students seem to like me.
